exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
vmwLyCg,0,left_shoulder_angle,46.22,"(0.514,0.361)",start
vmwLyCg,0,right_shoulder_angle,28.14,"(0.473,0.353)",start
vmwLyCg,0,left_elbow_angle,35.27,"(0.575,0.423)",start
vmwLyCg,0,right_elbow_angle,34.0,"(0.494,0.390)",start
vmwLyCg,3,left_shoulder_angle,35.02,"(0.533,0.350)",quarter
vmwLyCg,3,right_shoulder_angle,19.75,"(0.444,0.342)",quarter
vmwLyCg,3,left_elbow_angle,35.61,"(0.581,0.423)",quarter
vmwLyCg,3,right_elbow_angle,46.79,"(0.471,0.394)",quarter
vmwLyCg,6,left_shoulder_angle,145.45,"(0.536,0.325)",peak
vmwLyCg,6,right_shoulder_angle,141.8,"(0.438,0.330)",peak
vmwLyCg,6,left_elbow_angle,154.8,"(0.581,0.264)",peak
vmwLyCg,6,right_elbow_angle,145.63,"(0.392,0.287)",peak
vmwLyCg,9,left_shoulder_angle,43.78,"(0.537,0.333)",return
vmwLyCg,9,right_shoulder_angle,39.59,"(0.435,0.329)",return
vmwLyCg,9,left_elbow_angle,51.02,"(0.590,0.390)",return
vmwLyCg,9,right_elbow_angle,17.91,"(0.425,0.347)",return
vmwLyCg,11,left_shoulder_angle,36.3,"(0.542,0.352)",end
vmwLyCg,11,right_shoulder_angle,1.0,"(0.435,0.334)",end
vmwLyCg,11,left_elbow_angle,37.69,"(0.594,0.430)",end
vmwLyCg,11,right_elbow_angle,46.03,"(0.440,0.362)",end
