exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
wEulIzp,0,left_shoulder_angle,16.16,"(0.507,0.233)",start
wEulIzp,0,right_shoulder_angle,44.6,"(0.324,0.238)",start
wEulIzp,0,left_elbow_angle,159.79,"(0.519,0.333)",start
wEulIzp,0,right_elbow_angle,119.35,"(0.252,0.336)",start
wEulIzp,3,left_shoulder_angle,112.56,"(0.507,0.232)",quarter
wEulIzp,3,right_shoulder_angle,45.61,"(0.325,0.239)",quarter
wEulIzp,3,left_elbow_angle,6.41,"(0.593,0.211)",quarter
wEulIzp,3,right_elbow_angle,119.38,"(0.251,0.335)",quarter
wEulIzp,6,left_shoulder_angle,114.84,"(0.506,0.231)",peak
wEulIzp,6,right_shoulder_angle,45.92,"(0.326,0.239)",peak
wEulIzp,6,left_elbow_angle,165.66,"(0.602,0.203)",peak
wEulIzp,6,right_elbow_angle,119.39,"(0.251,0.335)",peak
wEulIzp,9,left_shoulder_angle,115.61,"(0.507,0.230)",return
wEulIzp,9,right_shoulder_angle,46.48,"(0.327,0.240)",return
wEulIzp,9,left_elbow_angle,7.87,"(0.610,0.199)",return
wEulIzp,9,right_elbow_angle,118.97,"(0.250,0.335)",return
wEulIzp,11,left_shoulder_angle,101.04,"(0.507,0.230)",end
wEulIzp,11,right_shoulder_angle,46.55,"(0.326,0.240)",end
wEulIzp,11,left_elbow_angle,22.85,"(0.592,0.227)",end
wEulIzp,11,right_elbow_angle,119.36,"(0.250,0.335)",end
