exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
y5p0H8a,0,left_knee_angle,161.78,"(0.430,0.578)",start
y5p0H8a,0,right_knee_angle,86.43,"(0.343,0.575)",start
y5p0H8a,0,left_hip_angle,164.21,"(0.417,0.408)",start
y5p0H8a,0,right_hip_angle,163.98,"(0.364,0.405)",start
y5p0H8a,3,left_knee_angle,105.11,"(0.416,0.578)",quarter
y5p0H8a,3,right_knee_angle,171.39,"(0.395,0.583)",quarter
y5p0H8a,3,left_hip_angle,170.22,"(0.418,0.419)",quarter
y5p0H8a,3,right_hip_angle,177.74,"(0.364,0.416)",quarter
y5p0H8a,6,left_knee_angle,95.83,"(0.410,0.573)",peak
y5p0H8a,6,right_knee_angle,171.72,"(0.397,0.585)",peak
y5p0H8a,6,left_hip_angle,173.04,"(0.419,0.418)",peak
y5p0H8a,6,right_hip_angle,176.83,"(0.364,0.416)",peak
y5p0H8a,9,left_knee_angle,109.04,"(0.410,0.569)",return
y5p0H8a,9,right_knee_angle,170.3,"(0.398,0.584)",return
y5p0H8a,9,left_hip_angle,174.1,"(0.421,0.420)",return
y5p0H8a,9,right_hip_angle,175.8,"(0.364,0.417)",return
y5p0H8a,11,left_knee_angle,172.43,"(0.420,0.578)",end
y5p0H8a,11,right_knee_angle,86.05,"(0.364,0.583)",end
y5p0H8a,11,left_hip_angle,171.41,"(0.422,0.419)",end
y5p0H8a,11,right_hip_angle,172.41,"(0.363,0.415)",end
