exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
yWxMvB5,0,left_shoulder_angle,46.64,"(0.510,0.355)",start
yWxMvB5,0,right_shoulder_angle,27.38,"(0.399,0.349)",start
yWxMvB5,0,left_elbow_angle,44.83,"(0.578,0.427)",start
yWxMvB5,0,right_elbow_angle,43.52,"(0.433,0.395)",start
yWxMvB5,4,left_shoulder_angle,61.75,"(0.509,0.391)",quarter
yWxMvB5,4,right_shoulder_angle,115.31,"(0.421,0.394)",quarter
yWxMvB5,4,left_elbow_angle,59.12,"(0.568,0.423)",quarter
yWxMvB5,4,right_elbow_angle,136.44,"(0.429,0.388)",quarter
yWxMvB5,9,left_shoulder_angle,156.83,"(0.487,0.338)",peak
yWxMvB5,9,right_shoulder_angle,154.81,"(0.426,0.355)",peak
yWxMvB5,9,left_elbow_angle,159.24,"(0.523,0.250)",peak
yWxMvB5,9,right_elbow_angle,171.25,"(0.439,0.308)",peak
yWxMvB5,13,left_shoulder_angle,158.53,"(0.491,0.327)",return
yWxMvB5,13,right_shoulder_angle,167.13,"(0.423,0.332)",return
yWxMvB5,13,left_elbow_angle,151.3,"(0.524,0.244)",return
yWxMvB5,13,right_elbow_angle,179.7,"(0.426,0.284)",return
yWxMvB5,17,left_shoulder_angle,36.07,"(0.500,0.338)",end
yWxMvB5,17,right_shoulder_angle,166.7,"(0.404,0.336)",end
yWxMvB5,17,left_elbow_angle,18.5,"(0.530,0.383)",end
yWxMvB5,17,right_elbow_angle,140.64,"(0.386,0.295)",end
