exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ykUOVze,0,left_ankle_angle,161.59,"(0.710,0.806)",start
ykUOVze,0,left_elbow_angle,109.69,"(0.508,0.255)",start
ykUOVze,0,right_knee_angle,172.63,"(0.737,0.669)",start
ykUOVze,0,left_knee_angle,165.17,"(0.668,0.662)",start
ykUOVze,0,right_ankle_angle,156.88,"(0.759,0.836)",start
ykUOVze,3,left_ankle_angle,144.63,"(0.702,0.824)",quarter
ykUOVze,3,left_elbow_angle,99.0,"(0.509,0.240)",quarter
ykUOVze,3,right_knee_angle,169.51,"(0.728,0.647)",quarter
ykUOVze,3,left_knee_angle,170.94,"(0.668,0.648)",quarter
ykUOVze,3,right_ankle_angle,142.22,"(0.754,0.830)",quarter
ykUOVze,6,left_ankle_angle,139.13,"(0.693,0.807)",peak
ykUOVze,6,left_elbow_angle,96.98,"(0.511,0.223)",peak
ykUOVze,6,right_knee_angle,168.9,"(0.721,0.624)",peak
ykUOVze,6,left_knee_angle,167.18,"(0.657,0.628)",peak
ykUOVze,6,right_ankle_angle,138.45,"(0.744,0.801)",peak
ykUOVze,9,left_ankle_angle,122.62,"(0.690,0.824)",return
ykUOVze,9,left_elbow_angle,96.43,"(0.511,0.219)",return
ykUOVze,9,left_knee_angle,169.64,"(0.659,0.634)",return
ykUOVze,11,left_ankle_angle,131.94,"(0.695,0.834)",end
ykUOVze,11,left_elbow_angle,102.95,"(0.511,0.234)",end
ykUOVze,11,left_knee_angle,174.92,"(0.671,0.654)",end
