exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
zZlORz6,0,right_shoulder_angle,89.2,"(0.323,0.447)",start
zZlORz6,0,right_elbow_angle,97.68,"(0.348,0.374)",start
zZlORz6,0,left_shoulder_angle,81.32,"(0.393,0.387)",start
zZlORz6,0,left_elbow_angle,63.38,"(0.441,0.315)",start
zZlORz6,3,right_shoulder_angle,77.35,"(0.313,0.447)",quarter
zZlORz6,3,right_elbow_angle,97.07,"(0.344,0.392)",quarter
zZlORz6,3,left_shoulder_angle,80.57,"(0.391,0.382)",quarter
zZlORz6,3,left_elbow_angle,61.49,"(0.440,0.314)",quarter
zZlORz6,6,right_shoulder_angle,119.77,"(0.299,0.445)",peak
zZlORz6,6,right_elbow_angle,156.0,"(0.287,0.392)",peak
zZlORz6,6,left_shoulder_angle,79.41,"(0.391,0.377)",peak
zZlORz6,6,left_elbow_angle,59.7,"(0.440,0.312)",peak
zZlORz6,9,right_shoulder_angle,71.03,"(0.302,0.441)",return
zZlORz6,9,right_elbow_angle,95.75,"(0.341,0.389)",return
zZlORz6,9,left_shoulder_angle,73.0,"(0.385,0.378)",return
zZlORz6,9,left_elbow_angle,56.39,"(0.438,0.321)",return
zZlORz6,11,right_shoulder_angle,67.73,"(0.303,0.441)",end
zZlORz6,11,right_elbow_angle,89.5,"(0.348,0.388)",end
zZlORz6,11,left_shoulder_angle,71.95,"(0.384,0.382)",end
zZlORz6,11,left_elbow_angle,55.7,"(0.442,0.321)",end
